"","date","state","positive","negative","pending","hospitalized","death","total","dateChecked"
"74",20200322,"IN",201,1293,NA,1,6,1494,"2020-03-22T20:00:00Z"
"75",20200322,"KS",64,417,NA,NA,2,481,"2020-03-22T20:00:00Z"
"76",20200322,"KY",99,1472,NA,NA,3,1571,"2020-03-22T20:00:00Z"
"77",20200322,"LA",837,2661,NA,NA,20,3498,"2020-03-22T20:00:00Z"
"78",20200322,"MA",646,5459,NA,71,5,6128,"2020-03-22T20:00:00Z"
"79",20200322,"MD",244,94,NA,NA,3,338,"2020-03-22T20:00:00Z"
"80",20200322,"ME",89,2264,NA,NA,NA,2353,"2020-03-22T20:00:00Z"
"81",20200322,"MI",1035,2069,NA,NA,8,3104,"2020-03-22T20:00:00Z"
"82",20200322,"MN",169,4511,NA,12,1,4680,"2020-03-22T20:00:00Z"
"83",20200322,"MO",90,369,NA,NA,3,459,"2020-03-22T20:00:00Z"
"84",20200322,"MP",0,NA,NA,NA,0,0,"2020-03-22T20:00:00Z"
"85",20200322,"MS",207,1114,NA,33,1,1321,"2020-03-22T20:00:00Z"
"86",20200322,"MT",31,1146,NA,NA,NA,1177,"2020-03-22T20:00:00Z"
"87",20200322,"NC",255,6183,NA,NA,0,6438,"2020-03-22T20:00:00Z"
"88",20200322,"ND",28,1260,NA,3,0,1288,"2020-03-22T20:00:00Z"
"89",20200322,"NE",48,356,NA,NA,0,404,"2020-03-22T20:00:00Z"
"90",20200322,"NH",65,1188,959,NA,NA,2212,"2020-03-22T20:00:00Z"
"91",20200322,"NJ",1914,327,49,NA,20,2290,"2020-03-22T20:00:00Z"
"92",20200322,"NM",57,4722,NA,NA,NA,4779,"2020-03-22T20:00:00Z"
"93",20200322,"NV",190,2448,NA,NA,2,2638,"2020-03-22T20:00:00Z"
"94",20200322,"NY",15168,46233,NA,1974,114,61401,"2020-03-22T20:00:00Z"
"95",20200322,"OH",351,140,NA,83,3,491,"2020-03-22T20:00:00Z"
"96",20200322,"OK",67,669,102,11,2,838,"2020-03-22T20:00:00Z"
"97",20200322,"OR",161,2864,NA,43,4,3025,"2020-03-22T20:00:00Z"
"98",20200322,"PA",479,4964,NA,NA,2,5443,"2020-03-22T20:00:00Z"
"99",20200322,"PR",23,183,69,NA,NA,275,"2020-03-22T20:00:00Z"
"100",20200322,"RI",83,932,216,NA,NA,1231,"2020-03-22T20:00:00Z"
"101",20200322,"SC",195,1466,NA,NA,3,1661,"2020-03-22T20:00:00Z"
"102",20200322,"SD",21,740,277,NA,1,1038,"2020-03-22T20:00:00Z"
"103",20200322,"TN",505,3272,NA,NA,NA,3777,"2020-03-22T20:00:00Z"
"104",20200322,"TX",334,8422,NA,NA,5,8756,"2020-03-22T20:00:00Z"
"105",20200322,"UT",181,3508,NA,NA,1,3689,"2020-03-22T20:00:00Z"
"106",20200322,"VA",219,3118,NA,32,3,3337,"2020-03-22T20:00:00Z"
"107",20200322,"VI",6,NA,NA,NA,0,6,"2020-03-22T20:00:00Z"
"108",20200322,"VT",52,1106,NA,NA,2,1158,"2020-03-22T20:00:00Z"
"109",20200322,"WA",1793,25328,NA,NA,94,27121,"2020-03-22T20:00:00Z"
"110",20200322,"WI",385,6230,NA,NA,4,6615,"2020-03-22T20:00:00Z"
"111",20200322,"WV",12,385,1,1,0,398,"2020-03-22T20:00:00Z"
"112",20200322,"WY",24,438,NA,NA,NA,462,"2020-03-22T20:00:00Z"
"113",20200321,"AK",14,758,NA,0,NA,772,"2020-03-21T20:00:00Z"
"114",20200321,"AL",124,28,NA,NA,0,152,"2020-03-21T20:00:00Z"
"115",20200321,"AR",118,567,154,NA,NA,839,"2020-03-21T20:00:00Z"
"116",20200321,"AS",NA,NA,NA,NA,0,0,"2020-03-21T20:00:00Z"
"117",20200321,"AZ",104,240,122,NA,1,466,"2020-03-21T20:00:00Z"
"118",20200321,"CA",1279,11249,NA,NA,24,12528,"2020-03-21T20:00:00Z"
"119",20200321,"CO",363,3317,NA,44,4,3680,"2020-03-21T20:00:00Z"
"120",20200321,"CT",194,2106,NA,NA,4,2300,"2020-03-21T20:00:00Z"
"121",20200321,"DC",77,506,0,NA,1,583,"2020-03-21T20:00:00Z"
"122",20200321,"DE",45,36,NA,NA,0,81,"2020-03-21T20:00:00Z"
"123",20200321,"FL",658,6579,1002,158,12,8239,"2020-03-21T20:00:00Z"
"124",20200321,"GA",507,2557,NA,NA,14,3064,"2020-03-21T20:00:00Z"
"125",20200321,"GU",15,108,NA,NA,NA,123,"2020-03-21T20:00:00Z"
"126",20200321,"HI",37,124,9,NA,NA,170,"2020-03-21T20:00:00Z"
"127",20200321,"IA",68,1049,NA,NA,NA,1117,"2020-03-21T20:00:00Z"
"128",20200321,"ID",31,880,NA,NA,NA,911,"2020-03-21T20:00:00Z"
"129",20200321,"IL",759,5488,NA,NA,6,6247,"2020-03-21T20:00:00Z"
"130",20200321,"IN",126,707,NA,1,4,833,"2020-03-21T20:00:00Z"
"131",20200321,"KS",55,417,NA,NA,2,472,"2020-03-21T20:00:00Z"
"132",20200321,"KY",54,714,NA,NA,2,768,"2020-03-21T20:00:00Z"
"133",20200321,"LA",585,2180,NA,NA,16,2765,"2020-03-21T20:00:00Z"
"134",20200321,"MA",525,4752,NA,61,1,5277,"2020-03-21T20:00:00Z"
"135",20200321,"MD",190,94,NA,NA,2,284,"2020-03-21T20:00:00Z"
"136",20200321,"ME",73,2264,NA,NA,NA,2337,"2020-03-21T20:00:00Z"
"137",20200321,"MI",787,2069,NA,NA,5,2856,"2020-03-21T20:00:00Z"
"138",20200321,"MN",138,3952,NA,NA,1,4090,"2020-03-21T20:00:00Z"
"139",20200321,"MO",73,369,NA,NA,3,442,"2020-03-21T20:00:00Z"
"140",20200321,"MP",0,NA,NA,NA,0,0,"2020-03-21T20:00:00Z"
"141",20200321,"MS",140,695,NA,NA,1,835,"2020-03-21T20:00:00Z"
"142",20200321,"MT",20,1146,NA,NA,NA,1166,"2020-03-21T20:00:00Z"
"143",20200321,"NC",184,5092,NA,NA,0,5276,"2020-03-21T20:00:00Z"
"144",20200321,"ND",28,1141,NA,3,0,1169,"2020-03-21T20:00:00Z"
"145",20200321,"NE",38,356,NA,NA,0,394,"2020-03-21T20:00:00Z"
"146",20200321,"NH",55,973,942,NA,NA,1970,"2020-03-21T20:00:00Z"
"147",20200321,"NJ",1327,294,40,NA,16,1661,"2020-03-21T20:00:00Z"
"148",20200321,"NM",57,3771,NA,NA,NA,3828,"2020-03-21T20:00:00Z"
"149",20200321,"NV",124,2384,NA,NA,2,2508,"2020-03-21T20:00:00Z"
"150",20200321,"NY",10356,35081,NA,1603,44,45437,"2020-03-21T20:00:00Z"
"151",20200321,"OH",247,140,NA,58,3,387,"2020-03-21T20:00:00Z"
"152",20200321,"OK",53,560,144,10,1,757,"2020-03-21T20:00:00Z"
"153",20200321,"OR",114,2003,433,NA,3,2550,"2020-03-21T20:00:00Z"
"154",20200321,"PA",371,3766,NA,NA,2,4137,"2020-03-21T20:00:00Z"
"155",20200321,"PR",21,143,71,NA,NA,235,"2020-03-21T20:00:00Z"
"156",20200321,"RI",66,862,290,NA,NA,1218,"2020-03-21T20:00:00Z"
"157",20200321,"SC",152,1255,NA,NA,1,1407,"2020-03-21T20:00:00Z"
"158",20200321,"SD",14,691,268,NA,1,973,"2020-03-21T20:00:00Z"
"159",20200321,"TN",371,3272,NA,NA,NA,3643,"2020-03-21T20:00:00Z"
"160",20200321,"TX",304,6218,NA,NA,5,6522,"2020-03-21T20:00:00Z"
"161",20200321,"UT",136,2424,NA,NA,0,2560,"2020-03-21T20:00:00Z"
"162",20200321,"VA",152,2638,NA,25,2,2790,"2020-03-21T20:00:00Z"
"163",20200321,"VI",6,NA,NA,NA,0,6,"2020-03-21T20:00:00Z"
"164",20200321,"VT",29,779,NA,NA,2,808,"2020-03-21T20:00:00Z"
"165",20200321,"WA",1524,21719,NA,NA,83,23243,"2020-03-21T20:00:00Z"
"166",20200321,"WI",281,4628,NA,NA,4,4909,"2020-03-21T20:00:00Z"
"167",20200321,"WV",11,330,2,1,0,343,"2020-03-21T20:00:00Z"
"168",20200321,"WY",23,438,NA,NA,NA,461,"2020-03-21T20:00:00Z"
"169",20200320,"AK",12,686,NA,NA,NA,698,"2020-03-20T20:00:00Z"
"170",20200320,"AL",81,28,NA,NA,0,109,"2020-03-20T20:00:00Z"
"171",20200320,"AR",96,351,203,NA,NA,650,"2020-03-20T20:00:00Z"
"172",20200320,"AS",0,NA,NA,NA,0,0,"2020-03-20T20:00:00Z"
"173",20200320,"AZ",65,211,101,NA,0,377,"2020-03-20T20:00:00Z"
"174",20200320,"CA",1063,10424,NA,NA,20,11487,"2020-03-20T20:00:00Z"
"175",20200320,"CO",277,2675,NA,NA,3,2952,"2020-03-20T20:00:00Z"
"176",20200320,"CT",194,604,NA,NA,3,798,"2020-03-20T20:00:00Z"
"177",20200320,"DC",71,501,1,NA,1,573,"2020-03-20T20:00:00Z"
"178",20200320,"DE",38,36,NA,NA,0,74,"2020-03-20T20:00:00Z"
"179",20200320,"FL",520,1870,1026,NA,10,3416,"2020-03-20T20:00:00Z"
"180",20200320,"GA",420,1966,NA,NA,13,2386,"2020-03-20T20:00:00Z"
"181",20200320,"GU",14,86,NA,NA,NA,100,"2020-03-20T20:00:00Z"
"182",20200320,"HI",26,124,9,NA,NA,159,"2020-03-20T20:00:00Z"
"183",20200320,"IA",45,642,NA,NA,NA,687,"2020-03-20T20:00:00Z"
"184",20200320,"ID",23,590,NA,NA,NA,613,"2020-03-20T20:00:00Z"
"185",20200320,"IL",590,3696,NA,NA,5,4286,"2020-03-20T20:00:00Z"
"186",20200320,"IN",79,475,NA,NA,2,554,"2020-03-20T20:00:00Z"
"187",20200320,"KS",44,417,NA,NA,1,461,"2020-03-20T20:00:00Z"
"188",20200320,"KY",47,592,NA,NA,1,639,"2020-03-20T20:00:00Z"
"189",20200320,"LA",479,568,NA,NA,12,1047,"2020-03-20T20:00:00Z"
"190",20200320,"MA",413,3678,NA,NA,1,4091,"2020-03-20T20:00:00Z"
"191",20200320,"MD",149,94,NA,NA,1,243,"2020-03-20T20:00:00Z"
"192",20200320,"ME",57,2264,NA,NA,NA,2321,"2020-03-20T20:00:00Z"
"193",20200320,"MI",549,2069,NA,NA,3,2618,"2020-03-20T20:00:00Z"
"194",20200320,"MN",115,3741,NA,NA,NA,3856,"2020-03-20T20:00:00Z"
"195",20200320,"MO",47,369,NA,NA,1,416,"2020-03-20T20:00:00Z"
"196",20200320,"MP",0,NA,NA,NA,0,0,"2020-03-20T20:00:00Z"
"197",20200320,"MS",80,695,NA,NA,1,775,"2020-03-20T20:00:00Z"
"198",20200320,"MT",16,931,NA,NA,NA,947,"2020-03-20T20:00:00Z"
"199",20200320,"NC",137,3096,NA,NA,0,3233,"2020-03-20T20:00:00Z"
"200",20200320,"ND",20,800,NA,NA,0,820,"2020-03-20T20:00:00Z"
"201",20200320,"NE",32,240,NA,NA,0,272,"2020-03-20T20:00:00Z"
"202",20200320,"NH",44,745,631,NA,NA,1420,"2020-03-20T20:00:00Z"
"203",20200320,"NJ",890,264,86,NA,11,1240,"2020-03-20T20:00:00Z"
"204",20200320,"NM",43,3771,NA,NA,NA,3814,"2020-03-20T20:00:00Z"
"205",20200320,"NV",109,1992,-3,NA,1,2098,"2020-03-20T20:00:00Z"
"206",20200320,"NY",7102,25325,NA,NA,35,32427,"2020-03-20T20:00:00Z"
"207",20200320,"OH",169,140,NA,NA,1,309,"2020-03-20T20:00:00Z"
"208",20200320,"OK",49,538,374,NA,1,961,"2020-03-20T20:00:00Z"
"209",20200320,"OR",114,2003,433,NA,3,2550,"2020-03-20T20:00:00Z"
"210",20200320,"PA",268,2574,NA,NA,1,2842,"2020-03-20T20:00:00Z"
"211",20200320,"PR",14,114,52,NA,NA,180,"2020-03-20T20:00:00Z"
"212",20200320,"RI",54,654,140,NA,NA,848,"2020-03-20T20:00:00Z"
"213",20200320,"SC",81,833,NA,NA,1,914,"2020-03-20T20:00:00Z"
"214",20200320,"SD",14,663,270,NA,1,947,"2020-03-20T20:00:00Z"
"215",20200320,"TN",228,563,NA,NA,NA,791,"2020-03-20T20:00:00Z"
"216",20200320,"TX",194,5083,NA,NA,5,5277,"2020-03-20T20:00:00Z"
"217",20200320,"UT",112,2035,NA,NA,0,2147,"2020-03-20T20:00:00Z"
"218",20200320,"VA",114,2211,NA,NA,2,2325,"2020-03-20T20:00:00Z"
"219",20200320,"VI",3,NA,NA,NA,0,3,"2020-03-20T20:00:00Z"
"220",20200320,"VT",29,779,NA,NA,2,808,"2020-03-20T20:00:00Z"
"221",20200320,"WA",1376,19336,NA,NA,74,20712,"2020-03-20T20:00:00Z"
"222",20200320,"WI",206,3455,NA,NA,3,3661,"2020-03-20T20:00:00Z"
"223",20200320,"WV",7,219,13,NA,0,239,"2020-03-20T20:00:00Z"
"224",20200320,"WY",19,331,NA,NA,NA,350,"2020-03-20T20:00:00Z"
"225",20200319,"AK",6,400,NA,NA,NA,406,"2020-03-19T20:00:00Z"
"226",20200319,"AL",68,28,NA,NA,0,96,"2020-03-19T20:00:00Z"
"227",20200319,"AR",46,310,113,NA,NA,469,"2020-03-19T20:00:00Z"
"228",20200319,"AS",0,NA,NA,NA,0,0,"2020-03-19T20:00:00Z"
"229",20200319,"AZ",44,175,130,NA,0,349,"2020-03-19T20:00:00Z"
"230",20200319,"CA",924,8787,NA,NA,18,9711,"2020-03-19T20:00:00Z"
"231",20200319,"CO",216,2112,NA,NA,2,2328,"2020-03-19T20:00:00Z"
"232",20200319,"CT",96,604,NA,NA,1,700,"2020-03-19T20:00:00Z"
"233",20200319,"DC",39,153,11,NA,0,203,"2020-03-19T20:00:00Z"
"234",20200319,"DE",30,36,NA,NA,0,66,"2020-03-19T20:00:00Z"
"235",20200319,"FL",390,1533,1019,NA,8,2942,"2020-03-19T20:00:00Z"
"236",20200319,"GA",287,1544,NA,NA,10,1831,"2020-03-19T20:00:00Z"
"237",20200319,"GU",12,69,NA,NA,NA,81,"2020-03-19T20:00:00Z"
"238",20200319,"HI",16,93,9,NA,NA,118,"2020-03-19T20:00:00Z"
"239",20200319,"IA",38,83,NA,NA,NA,121,"2020-03-19T20:00:00Z"
"240",20200319,"ID",11,457,NA,NA,NA,468,"2020-03-19T20:00:00Z"
"241",20200319,"IL",426,2725,NA,NA,4,3151,"2020-03-19T20:00:00Z"
"242",20200319,"IN",56,324,NA,NA,2,380,"2020-03-19T20:00:00Z"
"243",20200319,"KS",34,417,NA,NA,1,451,"2020-03-19T20:00:00Z"
"244",20200319,"KY",35,454,NA,NA,1,489,"2020-03-19T20:00:00Z"
"245",20200319,"LA",347,458,NA,NA,8,805,"2020-03-19T20:00:00Z"
"246",20200319,"MA",328,2804,NA,NA,NA,3132,"2020-03-19T20:00:00Z"
"247",20200319,"MD",107,94,NA,NA,1,201,"2020-03-19T20:00:00Z"
"248",20200319,"ME",53,2004,NA,NA,NA,2057,"2020-03-19T20:00:00Z"
"249",20200319,"MI",336,2113,NA,NA,3,2449,"2020-03-19T20:00:00Z"
"250",20200319,"MN",89,2949,NA,NA,NA,3038,"2020-03-19T20:00:00Z"
"251",20200319,"MO",24,308,NA,NA,1,332,"2020-03-19T20:00:00Z"
"252",20200319,"MP",0,NA,NA,NA,0,0,"2020-03-19T20:00:00Z"
"253",20200319,"MS",50,552,NA,NA,NA,602,"2020-03-19T20:00:00Z"
"254",20200319,"MT",12,761,0,NA,NA,773,"2020-03-19T20:00:00Z"
"255",20200319,"NC",97,2408,NA,NA,0,2505,"2020-03-19T20:00:00Z"
"256",20200319,"ND",15,493,NA,NA,0,508,"2020-03-19T20:00:00Z"
"257",20200319,"NE",27,240,NA,NA,0,267,"2020-03-19T20:00:00Z"
"258",20200319,"NH",39,621,231,NA,NA,891,"2020-03-19T20:00:00Z"
"259",20200319,"NJ",742,210,74,NA,9,1026,"2020-03-19T20:00:00Z"
"260",20200319,"NM",35,2762,NA,NA,NA,2797,"2020-03-19T20:00:00Z"
"261",20200319,"NV",95,1626,NA,NA,1,1721,"2020-03-19T20:00:00Z"
"262",20200319,"NY",4152,18132,NA,NA,12,22284,"2020-03-19T20:00:00Z"
"263",20200319,"OH",119,140,NA,NA,NA,259,"2020-03-19T20:00:00Z"
"264",20200319,"OK",44,466,250,NA,1,760,"2020-03-19T20:00:00Z"
"265",20200319,"OR",88,1329,437,NA,3,1854,"2020-03-19T20:00:00Z"
"266",20200319,"PA",185,1608,NA,NA,1,1793,"2020-03-19T20:00:00Z"
"267",20200319,"PR",5,56,29,NA,NA,90,"2020-03-19T20:00:00Z"
"268",20200319,"RI",33,540,334,NA,NA,907,"2020-03-19T20:00:00Z"
"269",20200319,"SC",60,583,NA,NA,1,643,"2020-03-19T20:00:00Z"
"270",20200319,"SD",11,551,385,NA,1,947,"2020-03-19T20:00:00Z"
"271",20200319,"TN",154,349,NA,NA,NA,503,"2020-03-19T20:00:00Z"
"272",20200319,"TX",143,2212,NA,NA,3,2355,"2020-03-19T20:00:00Z"
"273",20200319,"UT",78,1448,NA,NA,0,1526,"2020-03-19T20:00:00Z"
"274",20200319,"VA",94,1829,NA,NA,2,1923,"2020-03-19T20:00:00Z"
"275",20200319,"VI",3,NA,NA,NA,0,3,"2020-03-19T20:00:00Z"
"276",20200319,"VT",22,645,NA,NA,NA,667,"2020-03-19T20:00:00Z"
"277",20200319,"WA",1187,15918,NA,NA,66,17105,"2020-03-19T20:00:00Z"
"278",20200319,"WI",155,2192,NA,NA,NA,2347,"2020-03-19T20:00:00Z"
"279",20200319,"WV",2,143,3,NA,0,148,"2020-03-19T20:00:00Z"
"280",20200319,"WY",18,271,NA,NA,NA,289,"2020-03-19T20:00:00Z"
"281",20200318,"AK",6,406,NA,NA,NA,412,"2020-03-18T20:00:00Z"
"282",20200318,"AL",46,28,NA,NA,0,74,"2020-03-18T20:00:00Z"
"283",20200318,"AR",33,236,50,NA,NA,319,"2020-03-18T20:00:00Z"
"284",20200318,"AZ",28,148,102,NA,0,278,"2020-03-18T20:00:00Z"
"285",20200318,"CA",611,7981,NA,NA,13,8592,"2020-03-18T20:00:00Z"
"286",20200318,"CO",183,1617,NA,NA,2,1800,"2020-03-18T20:00:00Z"
"287",20200318,"CT",68,125,NA,NA,NA,193,"2020-03-18T20:00:00Z"
"288",20200318,"DC",31,138,1,NA,NA,170,"2020-03-18T20:00:00Z"
"289",20200318,"DE",25,36,NA,NA,NA,61,"2020-03-18T20:00:00Z"
"290",20200318,"FL",314,1225,954,NA,7,2493,"2020-03-18T20:00:00Z"
"291",20200318,"GA",197,1311,NA,NA,1,1508,"2020-03-18T20:00:00Z"
"292",20200318,"HI",14,93,12,NA,NA,119,"2020-03-18T20:00:00Z"
"293",20200318,"IA",29,83,NA,NA,NA,112,"2020-03-18T20:00:00Z"
"294",20200318,"ID",9,459,NA,NA,NA,468,"2020-03-18T20:00:00Z"
"295",20200318,"IL",289,1763,NA,NA,1,2052,"2020-03-18T20:00:00Z"
"296",20200318,"IN",39,154,NA,NA,2,193,"2020-03-18T20:00:00Z"
"297",20200318,"KS",16,417,NA,NA,1,433,"2020-03-18T20:00:00Z"
"298",20200318,"KY",26,354,NA,NA,1,380,"2020-03-18T20:00:00Z"
"299",20200318,"LA",240,335,NA,NA,6,575,"2020-03-18T20:00:00Z"
"300",20200318,"MA",256,2015,NA,NA,NA,2271,"2020-03-18T20:00:00Z"
"301",20200318,"MD",85,94,NA,NA,NA,179,"2020-03-18T20:00:00Z"
"302",20200318,"ME",43,1670,NA,NA,NA,1713,"2020-03-18T20:00:00Z"
"303",20200318,"MI",80,272,NA,NA,NA,352,"2020-03-18T20:00:00Z"
"304",20200318,"MN",77,2685,NA,NA,NA,2762,"2020-03-18T20:00:00Z"
"305",20200318,"MO",13,253,NA,NA,0,266,"2020-03-18T20:00:00Z"
"306",20200318,"MS",34,479,NA,NA,NA,513,"2020-03-18T20:00:00Z"
"307",20200318,"MT",10,499,0,NA,NA,509,"2020-03-18T20:00:00Z"
"308",20200318,"NC",63,1787,NA,NA,0,1850,"2020-03-18T20:00:00Z"
"309",20200318,"ND",6,268,NA,NA,0,274,"2020-03-18T20:00:00Z"
"310",20200318,"NE",24,206,NA,NA,NA,230,"2020-03-18T20:00:00Z"
"311",20200318,"NH",26,513,208,NA,NA,747,"2020-03-18T20:00:00Z"
"312",20200318,"NJ",427,190,21,NA,5,638,"2020-03-18T20:00:00Z"
"313",20200318,"NM",28,2326,NA,NA,NA,2354,"2020-03-18T20:00:00Z"
"314",20200318,"NV",55,168,NA,NA,1,223,"2020-03-18T20:00:00Z"
"315",20200318,"NY",2382,12215,NA,NA,12,14597,"2020-03-18T20:00:00Z"
"316",20200318,"OH",88,140,NA,NA,NA,228,"2020-03-18T20:00:00Z"
"317",20200318,"OK",29,378,110,NA,NA,517,"2020-03-18T20:00:00Z"
"318",20200318,"OR",75,1118,361,NA,3,1554,"2020-03-18T20:00:00Z"
"319",20200318,"PA",133,1187,NA,NA,NA,1320,"2020-03-18T20:00:00Z"
"320",20200318,"RI",33,540,334,NA,NA,907,"2020-03-18T20:00:00Z"
"321",20200318,"SC",60,583,NA,NA,1,643,"2020-03-18T20:00:00Z"
"322",20200318,"SD",11,551,350,NA,1,913,"2020-03-18T20:00:00Z"
"323",20200318,"TN",98,349,NA,NA,NA,447,"2020-03-18T20:00:00Z"
