"","date","state","positive","negative","pending","hospitalized","death","total","dateChecked","totalTestResults","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease"
"1",20200326,"AK",59,1801,NA,3,1,1860,"2020-03-26T20:00:00Z",1860,0,2,152,17,169
"2",20200326,"AL",506,3593,NA,NA,1,4099,"2020-03-26T20:00:00Z",4099,1,0,1064,223,1287
"3",20200326,"AR",335,1504,0,41,3,1839,"2020-03-26T20:00:00Z",1839,1,19,67,55,122
"4",20200326,"AS",0,NA,NA,NA,0,0,"2020-03-26T20:00:00Z",0,0,0,0,0,0
"5",20200326,"AZ",577,347,33,66,8,957,"2020-03-26T20:00:00Z",924,2,58,24,127,151
"6",20200326,"CA",3006,17380,57400,NA,65,77786,"2020-03-26T20:00:00Z",20386,25,0,3928,904,4832
"7",20200326,"CO",1086,6978,NA,148,19,8064,"2020-03-26T20:00:00Z",8064,8,64,189,174,363
"8",20200326,"CT",1012,5625,NA,125,21,6637,"2020-03-26T20:00:00Z",6637,2,12,602,137,739
"9",20200326,"DC",231,1626,1,NA,3,1858,"2020-03-26T20:00:00Z",1857,1,0,203,48,251
"10",20200326,"DE",130,36,NA,13,1,166,"2020-03-26T20:00:00Z",166,1,2,0,15,15
"11",20200326,"FL",2355,23741,1443,406,28,27539,"2020-03-26T20:00:00Z",26096,6,90,8367,673,9040
"12",20200326,"GA",1525,7401,NA,473,48,8926,"2020-03-26T20:00:00Z",8926,8,79,2469,278,2747
"13",20200326,"GU",45,263,NA,11,1,308,"2020-03-26T20:00:00Z",308,0,1,30,8,38
"14",20200326,"HI",95,4357,NA,5,NA,4452,"2020-03-26T20:00:00Z",4452,0,-1,0,5,5
"15",20200326,"IA",179,2578,NA,46,1,2757,"2020-03-26T20:00:00Z",2757,0,10,0,34,34
"16",20200326,"ID",123,2065,NA,NA,0,2188,"2020-03-26T20:00:00Z",2188,0,0,178,50,228
"17",20200326,"IL",2538,14093,NA,NA,26,16631,"2020-03-26T20:00:00Z",16631,7,0,1749,673,2422
"18",20200326,"IN",645,4006,NA,NA,17,4651,"2020-03-26T20:00:00Z",4651,3,0,1127,168,1295
"19",20200326,"KS",168,2869,NA,NA,3,3037,"2020-03-26T20:00:00Z",3037,0,0,509,42,551
"20",20200326,"KY",198,3102,NA,NA,4,3300,"2020-03-26T20:00:00Z",3300,0,0,237,41,278
"21",20200326,"LA",2305,15724,NA,676,83,18029,"2020-03-26T20:00:00Z",18029,18,185,6068,510,6578
"22",20200326,"MA",2417,21204,NA,219,25,23621,"2020-03-26T20:00:00Z",23621,10,116,3248,579,3827
"23",20200326,"MD",580,94,NA,132,4,674,"2020-03-26T20:00:00Z",674,0,132,0,157,157
"24",20200326,"ME",155,3394,NA,NA,NA,3549,"2020-03-26T20:00:00Z",3549,0,0,217,6,223
"25",20200326,"MI",2856,6550,NA,NA,60,9406,"2020-03-26T20:00:00Z",9406,17,0,4481,562,5043
"26",20200326,"MN",346,12604,NA,41,2,12950,"2020-03-26T20:00:00Z",12950,1,6,1416,59,1475
