"","date","state","positive","negative","pending","hospitalized","death","total","dateChecked","totalTestResults","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease"
"721",20200312,"DC",10,20,NA,NA,NA,30,"2020-03-12T20:00:00Z",30,0,0,0,6,6
"722",20200312,"DE",4,23,14,NA,NA,41,"2020-03-12T20:00:00Z",27,0,0,6,3,9
"723",20200312,"FL",32,301,147,NA,2,480,"2020-03-12T20:00:00Z",333,0,0,0,4,4
"724",20200312,"GA",31,NA,NA,NA,NA,31,"2020-03-12T20:00:00Z",31,0,0,0,9,9
"725",20200312,"HI",2,NA,NA,NA,NA,2,"2020-03-12T20:00:00Z",2,0,0,0,0,0
"726",20200312,"IA",14,67,24,NA,NA,105,"2020-03-12T20:00:00Z",81,0,0,21,1,22
"727",20200312,"ID",0,93,NA,NA,NA,93,"2020-03-12T20:00:00Z",93,0,0,26,0,26
"728",20200312,"IL",25,266,76,NA,NA,367,"2020-03-12T20:00:00Z",291,0,0,22,6,28
"729",20200312,"IN",12,52,NA,NA,NA,64,"2020-03-12T20:00:00Z",64,0,0,19,2,21
"730",20200312,"KS",4,41,NA,NA,NA,45,"2020-03-12T20:00:00Z",45,0,0,0,3,3
"731",20200312,"KY",8,56,NA,NA,NA,64,"2020-03-12T20:00:00Z",64,0,0,10,0,10
"732",20200312,"LA",14,37,NA,NA,NA,51,"2020-03-12T20:00:00Z",51,0,0,0,8,8
"733",20200312,"MA",95,NA,NA,NA,NA,95,"2020-03-12T20:00:00Z",95,0,0,0,3,3
"734",20200312,"MD",12,94,NA,NA,NA,106,"2020-03-12T20:00:00Z",106,0,0,0,3,3
"735",20200312,"ME",1,65,20,NA,NA,86,"2020-03-12T20:00:00Z",66,0,0,23,1,24
"736",20200312,"MI",2,91,27,NA,NA,120,"2020-03-12T20:00:00Z",93,0,0,34,0,34
"737",20200312,"MN",9,307,NA,NA,NA,316,"2020-03-12T20:00:00Z",316,0,0,90,4,94
